TIME: 10437725000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10437825000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10437975000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10438125000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10438275000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10447755000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10456925000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10457025000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10457175000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10457325000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10457475000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10466955000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10476125000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10476225000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10476375000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10476525000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10476675000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10486155000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10495325000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10495425000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10495575000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10495725000 | RAM WRITE | Addr: 49 <= Data: 48
TIME: 10495875000 | RAM WRITE | Addr: 48 <= Data: 47
TIME: 10505355000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10514525000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10514625000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10514775000 | RAM WRITE | Addr: 50 <= Data: 49
TIME: 10524555000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10533725000 | RAM WRITE | Addr: 52 <= Data: 51
TIME: 10533825000 | RAM WRITE | Addr: 51 <= Data: 50
TIME: 10543755000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10562955000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10582155000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10601355000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10620555000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10639755000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10658935000 | RAM WRITE | Addr: 58 <= Data: 58
TIME: 10658945000 | RAM WRITE | Addr: 58 <= Data: 56
TIME: 10658955000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10678145000 | RAM WRITE | Addr: 58 <= Data: 56
TIME: 10678155000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10697345000 | RAM WRITE | Addr: 58 <= Data: 56
TIME: 10697355000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10716545000 | RAM WRITE | Addr: 58 <= Data: 56
TIME: 10716555000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10735745000 | RAM WRITE | Addr: 58 <= Data: 56
TIME: 10735755000 | RAM WRITE | Addr: 56 <= Data: 55
TIME: 10966125000 | RAM WRITE | Addr: 59 <= Data: 59
TIME: 10966135000 | RAM WRITE | Addr: 59 <= Data: 58
TIME: 10985345000 | RAM WRITE | Addr: 60 <= Data: 60
TIME: 11234965000 | RAM WRITE | Addr: 61 <= Data: 61
TIME: 11273345000 | RAM WRITE | Addr: 62 <= Data: 62
TIME: 11273365000 | RAM WRITE | Addr: 62 <= Data: 61
TIME: 11292565000 | RAM WRITE | Addr: 62 <= Data: 61
TIME: 11311765000 | RAM WRITE | Addr: 62 <= Data: 61
