TIME: 27324995000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27325005000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27325015000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27353695000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27353705000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27353715000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27353725000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27353735000 | RAM WRITE | Addr: 11 <= Data: 10
TIME: 27382415000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27382425000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27382435000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27382445000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27411135000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27411145000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27411155000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27411165000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27439805000 | RAM WRITE | Addr: 17 <= Data: 17
TIME: 27439815000 | RAM WRITE | Addr: 17 <= Data: 16
TIME: 27439855000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27439865000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27439875000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27439885000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27468575000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27468585000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27468595000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27468605000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27497295000 | RAM WRITE | Addr: 16 <= Data: 15
TIME: 27497305000 | RAM WRITE | Addr: 15 <= Data: 13
TIME: 27497315000 | RAM WRITE | Addr: 13 <= Data: 12
TIME: 27497325000 | RAM WRITE | Addr: 12 <= Data: 11
TIME: 27526015000 | RAM WRITE | Addr: 16 <= Data: 15
